SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
MG;3152105;PONTE NOVA;;P1282;PPL - COMPLEXO PENITENCIARIO DE PONTE NOVA
MG;3146107;OURO PRETO;;P1283;PPL - PRESIDIO DE OURO PRETO
MG;3113404;CARATINGA;;P1286;PPL - PRESIDIO DE CARATINGA
MG;3136306;JOAO PINHEIRO;;P1287;PPL - PRESIDIO DE JOAO PINHEIRO
SP;3518503;GUAREI;;P1288;PPL - PENITENCIARIA II DE GUAREI  FECHADO
SP;3550308;SAO PAULO;;P1289;PPL - CENTRO DE DETENCAO PROVISORIA I DE PINHEIROS
RS;4312401;MONTENEGRO;;P129;PPL - INSTITUTO PENAL  DE MONTENEGRO
SP;3535507;PARAGUACU PAULISTA;;P1291;PPL - PENITENCIARIA DE PARAGUACU PAULISTA
SP;3529005;MARILIA;;P1292;PPL - CENTRO DE RESSOCIALIZACAO DE MARILIA
RS;4305108;CAXIAS DO SUL;;P130;PPL - PENITENCIARIA ESTADUAL DE CAXIAS DO SUL
MG;3135803;JEQUITINHONHA;;P1301;PPL - PRESIDIO DE JEQUITINHONHA
MG;3156908;SACRAMENTO;;P1303;PPL - PRESIDIO DE SACRAMENTO
MG;3162922;SAO JOAQUIM DE BICAS;;P1304;PPL - PENITENCIARIA PROFESSOR JASON SOARES ALBERGARIA I
MG;3170404;UNAI;;P1306;PPL - PRESIDIO DE UNAI
MG;3170404;UNAI;;P1306;PPL - PRESIDIO DE UNAI
MG;3162922;SAO JOAQUIM DE BICAS;;P1307;PPL - PRESIDIO DE SAO JOAQUIM DE BICAS II
SP;3516408;FRANCO DA ROCHA;;P1308;PPL - PENITENCIARIA DE FRANCO DA ROCHA I  MARIO DE MOURA ALBUQUERQUE
SP;3521606;IRAPURU;;P1309;PPL - PENITENCIARIA DE IRAPURU
RS;4301107;ARROIO DOS RATOS;;P131;PPL - PENITENCIARIA ESTADUAL DE ARROIO DOS RATOS
SP;3518503;GUAREI;;P1310;PPL - PENITENCIARIA I DE GUAREI  FECHADO  ESPACO I
SP;3504503;AVARE;;P1312;PPL - PENITENCIARIA II  NELSON MARCONDES DO AMARAL  DE AVARE
SP;3540200;PONTAL;;P1314;PPL - PENITENCIARIA DE PONTAL
SP;3509502;CAMPINAS;;P1318;PPL - PENITENCIARIA FEMININA DE CAMPINAS  SEMIABERTO  ESPACO I
RS;4316907;SANTA MARIA;;P132;PPL - PENITENCIARIA ESTADUAL DE SANTA MARIA
SP;3549805;SAO JOSE DO RIO PRETO;;P1320;PPL - CENTRO DE PROGRESSAO PENITENCIARIA  DR JAVERT DE ANDRADE DE SAO JOSE DO RIO PRETO
