SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SP;3514106;DOIS CORREGOS;51660;;EMEF PROFESSOR VALDOMIRO CASAGRANDE
SP;3523503;ITATINGA;51661;;E. E. PROFª DANÚZIA DE SANTI
SC;4208906;JARAGUA DO SUL;51511;;E.E.B.HOLANDO MARCELLINO GONÇALVES
SC;4209102;JOINVILLE;51515;;UNIVERSIDADE DA REGIÃO DE JOINVILLE - UNIVILLE
SC;4204608;CRICIUMA;51482;;UNESC - UNIVERSIDADE COMUNITÁRIA
SC;4208302;ITAPEMA;51496;;EMEB EDUCAR
SC;4210100;MAFRA;51481;;EMEB PROFESSOR MÁRIO DE OLIVEIRA GOELDNER
SC;4213401;PONTE SERRADA;51528;;POLO UAB PONTE SERRADA
SP;3524402;JACAREI;51826;;EMEF PROF DÉCIO MOREIRA
SP;3511102;CATANDUVA;51842;;UNIFIPA- CENTRO UNIVERSITÁRIO PADRE ALBINO
SP;3533007;NOVA GRANADA;51852;;E.M.E.F. PROFA ADALGISA PEREIRA PRADO
